"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"22/08/2024";"0000";"23,0";"24,0";"22,6";"25,0";"25,0";"22,0";"1,8";"1,9";"0,8";"889,7";"889,7";"889,1";"2,3";"97,0";"4,8";"";"0,0"
"22/08/2024";"0100";"22,5";"23,1";"22,4";"27,0";"27,0";"25,0";"2,3";"2,7";"1,8";"890,0";"890,0";"889,6";"2,2";"96,0";"4,9";"";"0,0"
"22/08/2024";"0200";"21,4";"22,5";"21,4";"29,0";"29,0";"26,0";"2,4";"2,5";"2,2";"890,2";"890,2";"890,0";"2,2";"87,0";"5,0";"";"0,0"
"22/08/2024";"0300";"21,2";"21,5";"20,9";"30,0";"30,0";"28,0";"3,0";"3,1";"2,4";"889,8";"890,2";"889,8";"2,8";"93,0";"4,9";"";"0,0"
"22/08/2024";"0400";"20,5";"21,2";"20,5";"32,0";"32,0";"30,0";"3,3";"3,3";"3,0";"889,5";"889,8";"889,5";"2,2";"99,0";"5,3";"";"0,0"
"22/08/2024";"0500";"19,6";"20,7";"19,6";"35,0";"35,0";"32,0";"3,7";"3,7";"3,3";"889,0";"889,5";"889,0";"1,8";"113,0";"3,9";"";"0,0"
"22/08/2024";"0600";"16,1";"19,6";"16,1";"47,0";"47,0";"35,0";"4,6";"4,8";"3,8";"888,7";"889,0";"888,7";"1,4";"115,0";"3,3";"";"0,0"
"22/08/2024";"0700";"14,3";"16,1";"14,3";"54,0";"55,0";"47,0";"5,0";"5,7";"4,7";"888,3";"888,7";"888,2";"0,9";"101,0";"2,5";"";"0,0"
"22/08/2024";"0800";"14,5";"14,6";"13,6";"53,0";"59,0";"52,0";"5,0";"5,7";"4,8";"888,1";"888,3";"888,1";"0,7";"120,0";"1,5";"";"0,0"
"22/08/2024";"0900";"16,8";"17,0";"13,9";"45,0";"55,0";"44,0";"4,7";"5,2";"4,5";"888,4";"888,5";"888,1";"1,7";"115,0";"2,9";"";"0,0"
"22/08/2024";"1000";"18,6";"18,7";"16,5";"40,0";"46,0";"40,0";"4,7";"4,8";"4,3";"888,9";"888,9";"888,4";"3,2";"98,0";"5,5";"25,20";"0,0"
"22/08/2024";"1100";"20,9";"20,9";"18,6";"35,0";"41,0";"35,0";"5,1";"5,6";"4,7";"889,7";"889,7";"888,9";"3,2";"90,0";"5,6";"633,00";"0,0"
"22/08/2024";"1200";"22,8";"22,9";"20,8";"33,0";"35,0";"33,0";"5,6";"5,9";"4,8";"890,3";"890,3";"889,7";"3,8";"94,0";"7,2";"1526,40";"0,0"
"22/08/2024";"1300";"25,0";"25,0";"22,6";"30,0";"33,0";"30,0";"6,4";"6,4";"5,5";"890,7";"890,7";"890,3";"2,8";"92,0";"6,6";"2258,70";"0,0"
"22/08/2024";"1400";"27,0";"27,0";"24,5";"26,0";"31,0";"25,0";"5,7";"6,5";"5,0";"890,6";"890,8";"890,6";"3,1";"94,0";"6,7";"2769,00";"0,0"
"22/08/2024";"1500";"28,5";"28,7";"26,7";"21,0";"26,0";"21,0";"4,2";"5,7";"3,9";"890,1";"890,6";"890,1";"3,2";"122,0";"6,6";"3040,80";"0,0"
"22/08/2024";"1600";"29,1";"29,6";"27,6";"20,0";"22,0";"20,0";"3,9";"4,7";"3,3";"889,3";"890,1";"889,2";"3,1";"125,0";"6,9";"3073,70";"0,0"
"22/08/2024";"1700";"30,0";"30,3";"28,6";"18,0";"21,0";"18,0";"3,1";"4,0";"2,7";"888,3";"889,2";"888,3";"3,7";"93,0";"7,7";"2922,60";"0,0"
"22/08/2024";"1800";"30,3";"30,5";"29,5";"17,0";"18,0";"16,0";"2,8";"3,2";"2,0";"887,5";"888,3";"887,5";"2,8";"100,0";"7,7";"2496,60";"0,0"
"22/08/2024";"1900";"30,1";"30,8";"29,6";"18,0";"18,0";"16,0";"2,8";"3,1";"1,5";"887,2";"887,5";"887,1";"2,9";"93,0";"7,3";"1903,10";"0,0"
"22/08/2024";"2000";"29,1";"30,2";"29,0";"19,0";"19,0";"17,0";"3,1";"3,3";"2,4";"887,0";"887,2";"887,0";"3,4";"96,0";"6,5";"1180,40";"0,0"
"22/08/2024";"2100";"27,0";"29,3";"27,0";"22,0";"22,0";"19,0";"3,6";"3,6";"3,0";"887,4";"887,4";"887,0";"2,4";"101,0";"5,5";"386,10";"0,0"
"22/08/2024";"2200";"25,4";"27,0";"25,4";"25,0";"25,0";"22,0";"3,7";"4,1";"3,6";"887,9";"887,9";"887,4";"2,9";"93,0";"5,5";"1,80";"0,0"
"22/08/2024";"2300";"23,6";"25,4";"23,6";"29,0";"29,0";"25,0";"4,3";"4,3";"3,7";"888,6";"888,6";"887,9";"1,8";"53,0";"6,3";"";"0,0"
